date,home_team,away_team,home_goals,away_goals
2025-08-22T18:30:00Z,FC Bayern München,RB Leipzig,6,0
2025-08-23T13:30:00Z,Eintracht Frankfurt,SV Werder Bremen,4,1
2025-08-23T13:30:00Z,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,1,2
2025-08-23T13:30:00Z,SC Freiburg,FC Augsburg,1,3
2025-08-23T13:30:00Z,1. FC Union Berlin,VfB Stuttgart,2,1
2025-08-23T13:30:00Z,1. FC Heidenheim 1846,VfL Wolfsburg,1,3
2025-08-23T16:30:00Z,FC St. Pauli 1910,Borussia Dortmund,3,3
2025-08-24T13:30:00Z,1. FSV Mainz 05,1. FC Köln,0,1
2025-08-24T15:30:00Z,Borussia Mönchengladbach,Hamburger SV,0,0
2025-08-29T18:30:00Z,Hamburger SV,FC St. Pauli 1910,0,2
2025-08-30T13:30:00Z,RB Leipzig,1. FC Heidenheim 1846,2,0
2025-08-30T13:30:00Z,SV Werder Bremen,Bayer 04 Leverkusen,3,3
2025-08-30T13:30:00Z,VfB Stuttgart,Borussia Mönchengladbach,1,0
2025-08-30T13:30:00Z,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,3
2025-08-30T16:30:00Z,FC Augsburg,FC Bayern München,2,3
2025-08-31T13:30:00Z,VfL Wolfsburg,1. FSV Mainz 05,1,1
2025-08-31T15:30:00Z,Borussia Dortmund,1. FC Union Berlin,3,0
2025-08-31T17:30:00Z,1. FC Köln,SC Freiburg,4,1
2025-09-12T18:30:00Z,Bayer 04 Leverkusen,Eintracht Frankfurt,3,1
2025-09-13T13:30:00Z,SC Freiburg,VfB Stuttgart,3,1
2025-09-13T13:30:00Z,1. FSV Mainz 05,RB Leipzig,0,1
2025-09-13T13:30:00Z,VfL Wolfsburg,1. FC Köln,3,3
2025-09-13T13:30:00Z,1. FC Union Berlin,TSG 1899 Hoffenheim,2,4
2025-09-13T13:30:00Z,1. FC Heidenheim 1846,Borussia Dortmund,0,2
2025-09-13T16:30:00Z,FC Bayern München,Hamburger SV,5,0
2025-09-14T13:30:00Z,FC St. Pauli 1910,FC Augsburg,2,1
