date,home_team,away_team,home_goals,away_goals
2025-08-23T16:30:00Z,Genoa CFC,US Lecce,0,0
2025-08-23T16:30:00Z,US Sassuolo Calcio,SSC Napoli,0,2
2025-08-23T18:45:00Z,AC Milan,US Cremonese,1,2
2025-08-23T18:45:00Z,AS Roma,Bologna FC 1909,1,0
2025-08-24T16:30:00Z,Cagliari Calcio,ACF Fiorentina,1,1
2025-08-24T16:30:00Z,Como 1907,SS Lazio,2,0
2025-08-24T18:45:00Z,Atalanta BC,AC Pisa 1909,1,1
2025-08-24T18:45:00Z,Juventus FC,Parma Calcio 1913,2,0
2025-08-25T16:30:00Z,Udinese Calcio,Hellas Verona FC,1,1
2025-08-25T18:45:00Z,FC Internazionale Milano,Torino FC,5,0
2025-08-29T16:30:00Z,US Cremonese,US Sassuolo Calcio,3,2
2025-08-29T18:45:00Z,US Lecce,AC Milan,0,2
2025-08-30T16:30:00Z,Bologna FC 1909,Como 1907,1,0
2025-08-30T16:30:00Z,Parma Calcio 1913,Atalanta BC,1,1
2025-08-30T18:45:00Z,SSC Napoli,Cagliari Calcio,1,0
2025-08-30T18:45:00Z,AC Pisa 1909,AS Roma,0,1
2025-08-31T16:30:00Z,Genoa CFC,Juventus FC,0,1
2025-08-31T16:30:00Z,Torino FC,ACF Fiorentina,0,0
2025-08-31T18:45:00Z,FC Internazionale Milano,Udinese Calcio,1,2
2025-08-31T18:45:00Z,SS Lazio,Hellas Verona FC,4,0
2025-09-13T13:00:00Z,Cagliari Calcio,Parma Calcio 1913,2,0
2025-09-13T16:00:00Z,Juventus FC,FC Internazionale Milano,4,3
2025-09-13T18:45:00Z,ACF Fiorentina,SSC Napoli,1,3
2025-09-14T10:30:00Z,AS Roma,Torino FC,0,1
2025-09-14T13:00:00Z,Atalanta BC,US Lecce,4,1
2025-09-14T13:00:00Z,AC Pisa 1909,Udinese Calcio,0,1
2025-09-14T16:00:00Z,US Sassuolo Calcio,SS Lazio,1,0
2025-09-14T18:45:00Z,AC Milan,Bologna FC 1909,1,0
2025-09-15T16:30:00Z,Hellas Verona FC,US Cremonese,0,0
2025-09-15T18:45:00Z,Como 1907,Genoa CFC,1,1
2025-09-19T18:45:00Z,US Lecce,Cagliari Calcio,1,2
2025-09-20T13:00:00Z,Bologna FC 1909,Genoa CFC,2,1
2025-09-20T16:00:00Z,Hellas Verona FC,Juventus FC,1,1
2025-09-20T18:45:00Z,Udinese Calcio,AC Milan,0,3
2025-09-21T10:30:00Z,SS Lazio,AS Roma,0,1
2025-09-21T13:00:00Z,Torino FC,Atalanta BC,0,3
2025-09-21T13:00:00Z,US Cremonese,Parma Calcio 1913,0,0
2025-09-21T16:00:00Z,ACF Fiorentina,Como 1907,1,2
2025-09-21T18:45:00Z,FC Internazionale Milano,US Sassuolo Calcio,2,1
2025-09-22T18:45:00Z,SSC Napoli,AC Pisa 1909,3,2
2025-09-27T13:00:00Z,Como 1907,US Cremonese,1,1
2025-09-27T16:00:00Z,Juventus FC,Atalanta BC,1,1
2025-09-27T18:45:00Z,Cagliari Calcio,FC Internazionale Milano,0,2
2025-09-28T10:30:00Z,US Sassuolo Calcio,Udinese Calcio,3,1
2025-09-28T13:00:00Z,AS Roma,Hellas Verona FC,2,0
2025-09-28T13:00:00Z,AC Pisa 1909,ACF Fiorentina,0,0
2025-09-28T16:00:00Z,US Lecce,Bologna FC 1909,2,2
2025-09-28T18:45:00Z,AC Milan,SSC Napoli,2,1
2025-09-29T16:30:00Z,Parma Calcio 1913,Torino FC,2,1
