date,home_team,away_team,home_goals,away_goals
2024-06-14T19:00:00Z,Germany,Scotland,5,1
2024-06-15T13:00:00Z,Hungary,Switzerland,1,3
2024-06-15T16:00:00Z,Spain,Croatia,3,0
2024-06-15T19:00:00Z,Italy,Albania,2,1
2024-06-16T13:00:00Z,Poland,Netherlands,1,2
2024-06-16T16:00:00Z,Slovenia,Denmark,1,1
2024-06-16T19:00:00Z,Serbia,England,0,1
2024-06-17T13:00:00Z,Romania,Ukraine,3,0
2024-06-17T16:00:00Z,Belgium,Slovakia,0,1
2024-06-17T19:00:00Z,Austria,France,0,1
2024-06-18T16:00:00Z,Turkey,Georgia,3,1
2024-06-18T19:00:00Z,Portugal,Czechia,2,1
2024-06-19T13:00:00Z,Croatia,Albania,2,2
2024-06-19T16:00:00Z,Germany,Hungary,2,0
2024-06-19T19:00:00Z,Scotland,Switzerland,1,1
2024-06-20T13:00:00Z,Slovenia,Serbia,1,1
2024-06-20T16:00:00Z,Denmark,England,1,1
2024-06-20T19:00:00Z,Spain,Italy,1,0
2024-06-21T13:00:00Z,Slovakia,Ukraine,1,2
2024-06-21T16:00:00Z,Poland,Austria,1,3
2024-06-21T19:00:00Z,Netherlands,France,0,0
2024-06-22T13:00:00Z,Georgia,Czechia,1,1
2024-06-22T16:00:00Z,Turkey,Portugal,0,3
2024-06-22T19:00:00Z,Belgium,Romania,2,0
2024-06-23T19:00:00Z,Scotland,Hungary,0,1
2024-06-23T19:00:00Z,Switzerland,Germany,1,1
2024-06-24T19:00:00Z,Albania,Spain,0,1
2024-06-24T19:00:00Z,Croatia,Italy,1,1
2024-06-25T16:00:00Z,France,Poland,1,1
2024-06-25T16:00:00Z,Netherlands,Austria,2,3
2024-06-25T19:00:00Z,Denmark,Serbia,0,0
2024-06-25T19:00:00Z,England,Slovenia,0,0
2024-06-26T16:00:00Z,Ukraine,Belgium,0,0
2024-06-26T16:00:00Z,Slovakia,Romania,1,1
2024-06-26T19:00:00Z,Czechia,Turkey,1,2
2024-06-26T19:00:00Z,Georgia,Portugal,2,0
2024-06-29T16:00:00Z,Switzerland,Italy,2,0
2024-06-29T19:00:00Z,Germany,Denmark,2,0
2024-06-30T16:00:00Z,England,Slovakia,2,1
2024-06-30T19:00:00Z,Spain,Georgia,4,1
2024-07-01T16:00:00Z,France,Belgium,1,0
2024-07-01T19:00:00Z,Portugal,Slovenia,3,0
2024-07-02T16:00:00Z,Romania,Netherlands,0,3
2024-07-02T19:00:00Z,Austria,Turkey,1,2
2024-07-05T16:00:00Z,Spain,Germany,2,1
2024-07-05T19:00:00Z,Portugal,France,3,5
2024-07-06T16:00:00Z,England,Switzerland,6,4
2024-07-06T19:00:00Z,Netherlands,Turkey,2,1
2024-07-09T19:00:00Z,Spain,France,2,1
2024-07-10T19:00:00Z,Netherlands,England,1,2
2024-07-14T19:00:00Z,Spain,England,2,1
