date,home_team,away_team,home_goals,away_goals
2025-08-15T18:45:00Z,Stade Rennais FC 1901,Olympique de Marseille,1,0
2025-08-16T15:00:00Z,Racing Club de Lens,Olympique Lyonnais,0,1
2025-08-16T17:00:00Z,AS Monaco FC,Le Havre AC,3,1
2025-08-16T19:05:00Z,OGC Nice,Toulouse FC,0,1
2025-08-17T13:00:00Z,Stade Brestois 29,Lille OSC,3,3
2025-08-17T15:15:00Z,AJ Auxerre,FC Lorient,1,0
2025-08-17T15:15:00Z,FC Metz,RC Strasbourg Alsace,0,1
2025-08-17T15:15:00Z,Angers SCO,Paris FC,1,0
2025-08-17T18:45:00Z,FC Nantes,Paris Saint-Germain FC,0,1
2025-08-22T18:45:00Z,Paris Saint-Germain FC,Angers SCO,1,0
2025-08-23T15:00:00Z,Olympique de Marseille,Paris FC,5,2
2025-08-23T17:00:00Z,OGC Nice,AJ Auxerre,3,1
2025-08-23T19:05:00Z,Olympique Lyonnais,FC Metz,3,0
2025-08-24T13:00:00Z,FC Lorient,Stade Rennais FC 1901,4,0
2025-08-24T15:15:00Z,Le Havre AC,Racing Club de Lens,1,2
2025-08-24T15:15:00Z,Toulouse FC,Stade Brestois 29,2,0
2025-08-24T15:15:00Z,RC Strasbourg Alsace,FC Nantes,1,0
2025-08-24T18:45:00Z,Lille OSC,AS Monaco FC,1,0
2025-08-29T18:45:00Z,Racing Club de Lens,Stade Brestois 29,3,1
2025-08-30T15:00:00Z,FC Lorient,Lille OSC,1,7
2025-08-30T17:00:00Z,FC Nantes,AJ Auxerre,1,0
2025-08-30T19:05:00Z,Toulouse FC,Paris Saint-Germain FC,3,6
2025-08-31T13:00:00Z,Angers SCO,Stade Rennais FC 1901,1,1
2025-08-31T15:15:00Z,Le Havre AC,OGC Nice,3,1
2025-08-31T15:15:00Z,AS Monaco FC,RC Strasbourg Alsace,3,2
2025-08-31T15:15:00Z,Paris FC,FC Metz,3,2
2025-08-31T18:45:00Z,Olympique Lyonnais,Olympique de Marseille,1,0
2025-09-12T18:45:00Z,Olympique de Marseille,FC Lorient,4,0
2025-09-13T15:00:00Z,OGC Nice,FC Nantes,1,0
2025-09-13T19:05:00Z,AJ Auxerre,AS Monaco FC,1,2
2025-09-14T13:00:00Z,Lille OSC,Toulouse FC,2,1
2025-09-14T15:15:00Z,FC Metz,Angers SCO,1,1
2025-09-14T15:15:00Z,Paris Saint-Germain FC,Racing Club de Lens,2,0
2025-09-14T15:15:00Z,RC Strasbourg Alsace,Le Havre AC,1,0
2025-09-14T15:15:00Z,Stade Brestois 29,Paris FC,1,2
2025-09-14T18:45:00Z,Stade Rennais FC 1901,Olympique Lyonnais,3,1
2025-09-19T18:45:00Z,Olympique Lyonnais,Angers SCO,1,0
2025-09-20T15:00:00Z,FC Nantes,Stade Rennais FC 1901,2,2
2025-09-20T17:00:00Z,Stade Brestois 29,OGC Nice,4,1
2025-09-20T19:05:00Z,Racing Club de Lens,Lille OSC,3,0
2025-09-21T13:00:00Z,Paris FC,RC Strasbourg Alsace,2,3
2025-09-21T15:15:00Z,Le Havre AC,FC Lorient,1,1
2025-09-21T15:15:00Z,AJ Auxerre,Toulouse FC,1,0
2025-09-21T15:15:00Z,AS Monaco FC,FC Metz,5,2
2025-09-22T18:00:00Z,Olympique de Marseille,Paris Saint-Germain FC,1,0
2025-09-26T18:45:00Z,RC Strasbourg Alsace,Olympique de Marseille,1,2
2025-09-27T15:00:00Z,FC Lorient,AS Monaco FC,3,1
2025-09-27T17:00:00Z,Toulouse FC,FC Nantes,2,2
2025-09-27T19:05:00Z,Paris Saint-Germain FC,AJ Auxerre,2,0
2025-09-28T13:00:00Z,OGC Nice,Paris FC,1,1
2025-09-28T15:15:00Z,FC Metz,Le Havre AC,0,0
2025-09-28T15:15:00Z,Lille OSC,Olympique Lyonnais,0,1
2025-09-28T15:15:00Z,Angers SCO,Stade Brestois 29,0,2
2025-09-28T18:45:00Z,Stade Rennais FC 1901,Racing Club de Lens,0,0
2025-10-03T18:45:00Z,Paris FC,FC Lorient,2,0
2025-10-04T15:00:00Z,FC Metz,Olympique de Marseille,0,3
2025-10-04T17:00:00Z,Stade Brestois 29,FC Nantes,0,0
2025-10-04T19:05:00Z,AJ Auxerre,Racing Club de Lens,1,2
2025-10-05T13:00:00Z,Olympique Lyonnais,Toulouse FC,1,2
2025-10-05T15:15:00Z,RC Strasbourg Alsace,Angers SCO,5,0
2025-10-05T15:15:00Z,Le Havre AC,Stade Rennais FC 1901,2,2
2025-10-05T15:15:00Z,AS Monaco FC,OGC Nice,2,2
2025-10-05T18:45:00Z,Lille OSC,Paris Saint-Germain FC,1,1
2025-10-17T18:45:00Z,Paris Saint-Germain FC,RC Strasbourg Alsace,3,3
2025-10-18T15:00:00Z,OGC Nice,Olympique Lyonnais,3,2
2025-10-18T17:00:00Z,Angers SCO,AS Monaco FC,1,1
2025-10-18T19:05:00Z,Olympique de Marseille,Le Havre AC,6,2
2025-10-19T13:00:00Z,Racing Club de Lens,Paris FC,2,1
2025-10-19T15:15:00Z,FC Lorient,Stade Brestois 29,3,3
