date,home_team,away_team,home_goals,away_goals
2025-08-08T19:15:00Z,Casa Pia AC,Sporting Clube de Portugal,0,2
2025-08-09T14:30:00Z,CD Nacional,Gil Vicente FC,0,2
2025-08-09T19:30:00Z,FC Arouca,AVS,3,1
2025-08-10T16:00:00Z,FC Famalicão,CD Santa Clara,3,0
2025-08-10T19:30:00Z,Sporting Clube de Braga,CD Tondela,3,0
2025-08-10T19:30:00Z,Moreirense FC,FC Alverca,2,1
2025-08-11T17:45:00Z,GD Estoril Praia,CF Estrela da Amadora,1,1
2025-08-11T19:45:00Z,FC Porto,Vitória SC,3,0
2025-08-15T14:30:00Z,AVS,Casa Pia AC,0,2
2025-08-16T14:30:00Z,CD Tondela,FC Famalicão,0,1
2025-08-16T17:00:00Z,Vitória SC,GD Estoril Praia,3,2
2025-08-16T19:30:00Z,CF Estrela da Amadora,Sport Lisboa e Benfica,0,1
2025-08-17T14:30:00Z,Rio Ave FC,CD Nacional,1,1
2025-08-17T17:00:00Z,FC Alverca,Sporting Clube de Braga,0,3
2025-08-17T17:00:00Z,CD Santa Clara,Moreirense FC,0,1
2025-08-17T19:30:00Z,Sporting Clube de Portugal,FC Arouca,6,0
2025-08-18T19:15:00Z,Gil Vicente FC,FC Porto,0,2
2025-08-23T15:00:00Z,Moreirense FC,Vitória SC,2,0
2025-08-23T17:00:00Z,CD Nacional,Sporting Clube de Portugal,1,4
2025-08-23T19:30:00Z,FC Arouca,Rio Ave FC,3,3
2025-08-23T19:30:00Z,Sport Lisboa e Benfica,CD Tondela,3,0
2025-08-24T14:30:00Z,FC Famalicão,Gil Vicente FC,0,0
2025-08-24T17:00:00Z,FC Porto,Casa Pia AC,4,0
2025-08-24T19:30:00Z,Sporting Clube de Braga,AVS,2,2
2025-08-25T19:15:00Z,CF Estrela da Amadora,FC Alverca,2,2
2025-08-29T19:15:00Z,Gil Vicente FC,Moreirense FC,2,0
2025-08-30T14:30:00Z,Casa Pia AC,CD Nacional,0,2
2025-08-30T17:00:00Z,AVS,FC Famalicão,0,1
2025-08-30T17:00:00Z,Vitória SC,FC Arouca,1,1
2025-08-30T19:30:00Z,Sporting Clube de Portugal,FC Porto,1,2
2025-08-31T14:30:00Z,CD Tondela,GD Estoril Praia,2,2
2025-08-31T17:00:00Z,FC Alverca,Sport Lisboa e Benfica,1,2
2025-08-31T19:30:00Z,CD Santa Clara,CF Estrela da Amadora,0,0
2025-08-31T19:30:00Z,Rio Ave FC,Sporting Clube de Braga,2,2
2025-09-06T19:30:00Z,GD Estoril Praia,CD Santa Clara,0,1
2025-09-12T19:15:00Z,FC Alverca,CD Tondela,1,0
2025-09-12T19:15:00Z,Sport Lisboa e Benfica,CD Santa Clara,1,1
2025-09-13T14:30:00Z,Moreirense FC,Rio Ave FC,3,1
2025-09-13T14:30:00Z,GD Estoril Praia,AVS,3,1
2025-09-13T17:00:00Z,FC Porto,CD Nacional,1,0
2025-09-13T19:30:00Z,FC Famalicão,Sporting Clube de Portugal,1,2
2025-09-14T14:30:00Z,CF Estrela da Amadora,Vitória SC,0,2
2025-09-14T17:00:00Z,FC Arouca,Casa Pia AC,0,2
2025-09-14T19:30:00Z,Sporting Clube de Braga,Gil Vicente FC,0,1
2025-09-19T19:15:00Z,Rio Ave FC,FC Porto,0,3
2025-09-20T14:30:00Z,CD Santa Clara,FC Alverca,2,1
2025-09-20T14:30:00Z,CD Nacional,FC Arouca,1,2
2025-09-20T17:00:00Z,AVS,Sport Lisboa e Benfica,0,3
2025-09-20T19:30:00Z,Vitória SC,Sporting Clube de Braga,1,1
2025-09-21T14:30:00Z,CD Tondela,CF Estrela da Amadora,0,0
2025-09-21T17:00:00Z,Gil Vicente FC,GD Estoril Praia,2,0
2025-09-21T19:30:00Z,Casa Pia AC,FC Famalicão,1,1
2025-09-22T19:15:00Z,Sporting Clube de Portugal,Moreirense FC,3,0
2025-09-23T19:15:00Z,Sport Lisboa e Benfica,Rio Ave FC,1,1
2025-09-26T19:15:00Z,Sport Lisboa e Benfica,Gil Vicente FC,2,1
2025-09-27T14:30:00Z,CD Santa Clara,CD Tondela,1,2
2025-09-27T14:30:00Z,Moreirense FC,Casa Pia AC,2,1
2025-09-27T17:00:00Z,CF Estrela da Amadora,AVS,3,0
2025-09-27T19:30:00Z,GD Estoril Praia,Sporting Clube de Portugal,0,1
2025-09-28T14:30:00Z,FC Alverca,Vitória SC,2,0
2025-09-28T17:00:00Z,Sporting Clube de Braga,CD Nacional,0,1
2025-09-28T19:30:00Z,FC Famalicão,Rio Ave FC,0,0
2025-09-29T19:00:00Z,FC Arouca,FC Porto,0,4
2025-10-03T19:15:00Z,Casa Pia AC,GD Estoril Praia,2,2
2025-10-04T14:30:00Z,Gil Vicente FC,CF Estrela da Amadora,2,0
2025-10-04T14:30:00Z,CD Nacional,Moreirense FC,3,2
2025-10-04T17:00:00Z,AVS,FC Alverca,1,3
2025-10-04T19:30:00Z,Vitória SC,CD Santa Clara,2,1
2025-10-05T14:30:00Z,FC Arouca,FC Famalicão,1,1
2025-10-05T16:30:00Z,Rio Ave FC,CD Tondela,3,0
2025-10-05T18:15:00Z,Sporting Clube de Portugal,Sporting Clube de Braga,1,1
2025-10-05T20:15:00Z,FC Porto,Sport Lisboa e Benfica,0,0
2025-10-24T19:15:00Z,FC Alverca,Gil Vicente FC,0,4
2025-10-25T17:00:00Z,CD Santa Clara,AVS,2,0
2025-10-25T19:30:00Z,CF Estrela da Amadora,Rio Ave FC,1,2
2025-10-25T19:30:00Z,Sport Lisboa e Benfica,FC Arouca,5,0
2025-10-26T15:30:00Z,GD Estoril Praia,CD Nacional,1,1
2025-10-26T15:30:00Z,FC Famalicão,Vitória SC,2,0
2025-10-26T18:00:00Z,CD Tondela,Sporting Clube de Portugal,0,3
2025-10-26T20:30:00Z,Sporting Clube de Braga,Casa Pia AC,4,0
2025-10-27T20:15:00Z,Moreirense FC,FC Porto,1,2
2025-10-31T20:15:00Z,Sporting Clube de Portugal,FC Alverca,2,0
2025-11-01T15:30:00Z,CD Nacional,FC Famalicão,0,1
2025-11-01T18:00:00Z,Casa Pia AC,CF Estrela da Amadora,3,5
2025-11-01T18:00:00Z,Rio Ave FC,GD Estoril Praia,0,4
2025-11-01T20:30:00Z,Vitória SC,Sport Lisboa e Benfica,0,3
2025-11-02T15:30:00Z,AVS,CD Tondela,2,2
2025-11-02T18:00:00Z,FC Arouca,Moreirense FC,0,2
2025-11-02T20:30:00Z,FC Porto,Sporting Clube de Braga,2,1
2025-11-03T20:45:00Z,Gil Vicente FC,CD Santa Clara,1,0
2025-11-07T20:15:00Z,GD Estoril Praia,FC Arouca,4,3
2025-11-08T15:30:00Z,FC Alverca,Rio Ave FC,1,1
2025-11-08T18:00:00Z,CD Tondela,Vitória SC,0,1
2025-11-08T20:30:00Z,CD Santa Clara,Sporting Clube de Portugal,1,2
2025-11-09T15:30:00Z,AVS,Gil Vicente FC,1,1
2025-11-09T15:30:00Z,CF Estrela da Amadora,CD Nacional,1,1
2025-11-09T18:00:00Z,FC Famalicão,FC Porto,0,1
2025-11-09T20:30:00Z,Sporting Clube de Braga,Moreirense FC,2,1
2025-11-09T20:30:00Z,Sport Lisboa e Benfica,Casa Pia AC,2,2
2025-11-28T20:15:00Z,Vitória SC,AVS,4,0
2025-11-29T15:30:00Z,Casa Pia AC,FC Alverca,0,2
2025-11-29T15:30:00Z,Moreirense FC,FC Famalicão,2,2
2025-11-29T18:00:00Z,CD Nacional,Sport Lisboa e Benfica,1,2
2025-11-29T20:30:00Z,Gil Vicente FC,CD Tondela,0,1
2025-11-30T15:30:00Z,Rio Ave FC,CD Santa Clara,1,1
2025-11-30T18:00:00Z,Sporting Clube de Portugal,CF Estrela da Amadora,4,0
2025-11-30T20:30:00Z,FC Porto,GD Estoril Praia,1,0
2025-12-01T20:15:00Z,FC Arouca,Sporting Clube de Braga,0,4
2025-12-05T20:15:00Z,Sport Lisboa e Benfica,Sporting Clube de Portugal,1,1
2025-12-06T15:30:00Z,CD Santa Clara,Casa Pia AC,1,0
2025-12-06T18:00:00Z,AVS,Rio Ave FC,1,2
2025-12-06T20:30:00Z,FC Famalicão,Sporting Clube de Braga,1,2
2025-12-07T15:30:00Z,GD Estoril Praia,Moreirense FC,3,3
2025-12-07T18:00:00Z,FC Alverca,CD Nacional,1,0
2025-12-07T18:00:00Z,CF Estrela da Amadora,FC Arouca,3,1
2025-12-07T20:30:00Z,CD Tondela,FC Porto,0,2
2025-12-08T20:30:00Z,Vitória SC,Gil Vicente FC,0,0
2025-12-13T15:30:00Z,Casa Pia AC,Gil Vicente FC,1,1
2025-12-13T18:00:00Z,Rio Ave FC,Vitória SC,0,1
2025-12-13T20:30:00Z,Sporting Clube de Portugal,AVS,6,0
2025-12-14T15:30:00Z,FC Famalicão,GD Estoril Praia,4,0
2025-12-14T18:00:00Z,Moreirense FC,Sport Lisboa e Benfica,0,4
2025-12-14T20:30:00Z,FC Arouca,FC Alverca,1,0
2025-12-15T17:30:00Z,CD Nacional,CD Tondela,3,1
2025-12-15T18:45:00Z,Sporting Clube de Braga,CD Santa Clara,1,0
2025-12-15T20:45:00Z,FC Porto,CF Estrela da Amadora,3,1
2025-12-19T20:15:00Z,GD Estoril Praia,Sporting Clube de Braga,1,0
